날짜,제목,내용,신문사,영역,URL
2017-07-11,'해리포터' 출연 원했던 난치병 어린이… 그 꿈을 이뤄준 스네이프 교수,영화 해리포터 시리즈에서 스네이프 교수 역할을 맡았던 배우 앨런 릭먼 1946 2016 이 생전에 암 투병 어린이에게 베풀었던 선행이 회자되고 있다 평소에도 불치병이나 난치병에 걸린 어린이들을 돌보는 데 관심을 쏟았던 릭먼은 해리포터와 아즈카반의 죄수 촬영 당시 한 난치병 어린이의 소원을 들어줬다 당시 신경계에 악성 종양이 생기는 신경아 세포종 4기였던 15살 어린이 제이는 죽기 전 해리포터에 한 번이라도 출연하는 게 꿈이라고 말했다 릭먼은 아이의 꿈을 듣고는 감독에게 제이를 출연시키는 게 어떻겠느냐고 물었다 완곡하게 거절하는 제작진에 릭먼은 스네이프 교수의 표정을 짓더니 얘가 출연하면 왜 안되지 하고 되물었다고 한다 릭먼의 배려로 제이는 수업시간 맨 뒤에 앉는 학생 역할을 할 수 있었다 편집을 거쳐 개봉한 영화에서 제이의 모습은 나오지 않았지만 제이는 무척 기뻐했다고 한다 2005년 세상을 떠난 제이에 대해 제작진은 제이는 촬영 현장에 분명히 함께 있었다 고 말했다 릭먼의 동료이자 해리포터의 제작진이었던 파울라는 모두가 망설일 때 앨런은 흔쾌히 제이를 영화에 출연시키자고 제안했다 며 그는 정말 완벽한 인성과 연기력을 가진 훌륭한 배우였다 고 회상했다 아이에게 선행을 베푼 릭먼은 지난해 1월 암으로 사망했다 박세원 인턴기자 sewonpark kmib co kr 국민일보 홈페이지 페이스북 취재대행소 왱 클릭 GoodNews paper 국민일보 www kmib co kr 무단전재 및 재배포금지,국민일보,세계,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=005&aid=0001007864
2017-07-11,"선한목자병원, 감성·지성·건강 주제로 ‘퇴근길 콘서트’ 개최",News1 서울 뉴스1 전민기 기자 강남구 역삼역에 위치한 선한목자병원은 오는 13일 저녁 7시 역삼역 선한목자병원 2층 로비에서 감성 지성 건강을 주제로 한 제 6회 퇴근길 콘서트 를 개최한다고 밝혔다 선한목자병원의 퇴근길 콘서트는 본원에 내원한 환자들을 비롯 바쁜 일상 속에서 문화예술을 즐기지 못하는 사람들을 위해 진행되는 힐링 콘서트로 매월 둘째 주 목요일마다 수준 높은 공연과 건강 상식 토크쇼를 무료로 즐길 수 있다 퇴근길 콘서트에서 사회와 연주를 맡고 있는 연주자는 UCLA 음악학 박사 학위 취득 후 캘리포니아 주립대학교 현악과 교수로 재직했던 바이올리니스트 백진주 교수로 글로벌 영화사인 픽사에 소속되어 타이타닉 아바타 해리포터 등 800여 편의 할리우드 영화 음악을 작곡 연주하며 실력을 인정 받았다 또한 순천향대학병원 음악 자문 위원과 고도 NHN 콜센터 감성 지도 교수로 활동하면서 세계 도처에서 기독교 음악 작은 음악회 소외계층을 위한 연주회를 진행 상처 받은 사람들의 마음을 위로해 주기 위한 음악활동을 펼쳐왔다 콘서트 내 건강 토크쇼를 진행하는 선한목자병원 이창우 병원장 역시 하버드 의대 존스홉킨스 의대 피츠버그 의대에서 박사급 연구원의 이력을 가지고 있는 정형외과 전문의로서 인공관절 관절내시경 줄기세포 치료 및 스포츠재활 분야 권위자로 정평 나 있다 이창우 박사는 경직된 자세로 오랫동안 일하는 직장인들의 경우 생활 속 작은 습관을 고치는 것만으로도 관절 건강을 유지하는데 큰 효과를 볼 수 있다 며 퇴근길 콘서트 건강 토크쇼를 통해 더 많은 사람들이 관절 건강에 대한 중요함을 깨닫고 작은 노력부터 실천해 나가길 바란다 고 전했다 한편 2001년 개원한 척추 관절 전문 선한목자병원은 16년 동안 병원 수익의 일부를 국내 외 의료봉사 및 무료진료소 운영에 환원하고 있으며 진료 과목은 정형외과 내과 종합검진센터 등으로 구성돼 있다 퇴근길 콘서트 역시 병원 사회공헌활동의 일환으로 시작된 사업으로 자세한 내용은 선한목자병원 홈페이지 공지를 통해 확인할 수 있다 nohsm 놓치면 후회 최신 만화 보기 2017년 나의 운세 보기 생생한 Real Time 영상뉴스 눈TV 바로가기 여러분의 제보를 기다립니다 제보하기 클릭 뉴스1코리아 news1 kr 무단 전재 및 재배포 금지,뉴스1,생활/문화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=421&aid=0002831327
2017-07-11,'그라시아스 콘서트' 플루티스트 폴 에드먼드 데이브스 공연,서울 뉴시스 조명규 기자 국제청소년연합 IYF 과 세계 우수 음악가들이 함께 꾸민 그라시아스 콘서트 가 9일 오후 서울시 구로구 고척스카이돔에서 열린 가운데 인터스텔라 해리포터 에일리언 등 50여개 영화음악을 녹음한 풀루티스트 폴 에드먼드 데이비스가 연주를 펼치고 있다 2017 07 10 mkcho newsis com 사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부 n photo newsis com 02 721 7470 로 보내주시면 적극 반영하겠습니다,뉴시스,사회,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=003&aid=0008059199
2017-07-11,원주 흥업서 1t포터 승용차 추돌 3명 부상,원주 뉴시스 권순명 기자 10일 오전 8시54분께 강원 원주시 흥업면 사제리 자동차 전용도로 광터사거리에서 1t 포터와 승용차가 추돌하는 사고가 발생했다 이날 사고로 승용차 운전자 김모 45 씨 등 3명이 다쳐 119 구조대에 의해 병원으로 이송돼 치료를 받고 있다 경찰은 운전자 등 상대로 정확한 사고 원인을 조사 중이다 gsm newsis com뉴시스 뉴스 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS 페이스북 트위터,뉴시스,사회,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=003&aid=0008058735
2017-07-11,"'아빠차'서 '오빠차' 된 그랜저, 3관왕 향해 질주",7개월 연속 1만대 이상 판매준대형 최초 국내 최다 판매 연 15만대 판매 신기록 기대 강현우 기자 현대자동차의 그랜저가 10개월 연속 1만대 이상 판매 준대형 최초 연간 베스트셀러 7년 만의 연 15만 대 판매 차종 등 다양한 신기록을 향해 질주하고 있다 과거 사장님 차 의 대명사였던 그랜저는 다양한 변신을 통해 이제 30 40세대 차량 선택 기준이 되고 있다는 평가다 현대차에 따르면 그랜저는 신모델 IG 을 본격 판매하기 시작한 지난해 12월부터 올 6월까지 7개월 연속 1만 대 이상 판매를 달성했다 준대형 차급에서 역대 최장 기록이다 월 1만대 이상 연속 판매 기록은 아반떼와 쏘나타가 보유하고 있다 쏘나타는 2009년 9월부터 이듬해 6월까지 아반떼는 2011년 3월부터 12월까지 각각 10개월 동안 1만 대 판매를 넘어섰다 그랜저가 앞으로 넉 달 동안 1만 대 판매를 지속하면 역대 최고 기록을 세우게 된다 업계에서는 마땅한 경쟁 신차가 없다는 점에서 달성 가능성이 높다는 분석이 나온다 준대형급 최초로 국내 최다 판매 차량이 될 수 있을지도 관심사다 그동안 베스트셀링 카는 사실상 쏘나타의 독무대였다 쏘나타는 1999년부터 2010년까지 12년 연속 1위를 달렸다 2011 2013년에는 아반떼에 1위 자리를 내줬다가 2014 2015년 다시 선두에 복귀했다 지난해에는 포터가 1등이었다 올해 6월까지 그랜저가 7만2666대로 포터 5만4226대 쏘나타 4만2037대 등을 크게 앞서고 있어 1위가 유력하다 7년 만에 연간 15만 대 판매 모델 탄생 가능성도 있다 국내 내수시장에서 단일 차종이 연간 15만 대 판매를 넘어선 기록은 2010년 쏘나타 15만2023대 가 유일하다 그랜저는 하반기에 상반기 7만2666대 와 비슷한 수준의 판매 실적을 올리면 15만 대 달성이 가능하다 통상 하반기 판매량이 상반기보다 많다는 점에서 기대해볼 만하다는 분석이다 현대차 관계자는 올해 대내외적으로 어려운 여건에서도 내수시장에서 그랜저가 제몫을 톡톡히 해주고 있다 며 중동 등으로 수출도 늘릴 계획 이라고 말했다 강현우 기자 hkang hankyung com 한경닷컴 바로가기 글방 모바일한경 구독신청 한국경제 hankyung com 무단전재 및 재배포 금지,한국경제,경제,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003793394
2017-07-11,최근 밝혀진 ‘해리포터’ 스네이프 교수의 선행,해리포터 시리즈에서 스네이프 교수 역할을 맡은 앨런 릭먼 영화 해리포터 시리즈의 스네이프 교수 역할을 맡은 앨런 릭먼 1946 2016 이 생전 암 투병 어린이에게 베푼 선행이 최근 다시 화제다 최근 허핑턴포스트 미국판 등에 따르면 해리포터 제작진은 아즈카반의 죄수 편 촬영 당시 신경세포종양 4기를 앓고 있던 4살 어린이 제이를 맞이했다 난치병 어린이의 소원을 들어주는 한 자선단체를 통해서다 하지만 제이의 진짜 소원은 촬영장 방문이 아닌 영화 출연이었다 제작진은 제이의 요청을 완곡하게 거절했지만 릭먼의 판단은 달랐다 당시 제작진은 릭먼이 스네이프 교수의 표정을 짓더니 나에게 얘가 출연하면 왜 안되지 라고 물었다 고 상황을 전했다 릭먼의 배려로 제이는 수업시간 맨 뒤에 앉는 학생 역할을 할 수 있었다 제이의 소원이 이뤄진 것이다 해리포터 아즈카반의 죄수 편의 한 장면 하지만 편집을 거쳐 2004년 개봉한 영화에서 제이의 모습은 나오지 않았다 그래도 제이는 무척 기뻐했다고 한다 제이는 2005년 결국 세상을 떠났다 제작진은 제이에 대해 제이는 촬영 현장에 분명히 함께 있었다 Jay was there he had a moment 고 평가했다 선행을 베푼 릭먼은 지난해 1월 사망했다 그는 다이하드 1 과 로빈후드 도둑들의 왕자 러브액츄얼리 등에 출연했다 최선욱 기자 isotope joongang co kr SNS에서 만나는 중앙일보 페이스북 트위터 네이버포스트 중앙일보 http joongang co kr and JTBC Content Hub Co Ltd 무단 전재 및 재배포 금지,중앙일보,사회,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=025&aid=0002734322
2017-07-11," 가슴 울리는 저음과 춤, ‘원더랜드’로의 초대 ",한겨레 하이네켄 프레젠트 스타디움 무대에 선 앨리슨 원더랜드 인터뷰지난 8일 서울 잠실올림픽주경기장에서 열린 하이네켄 프레젠트 스타디움 에서 열정적인 디제잉을 선보이고 있는 앨리슨 원더랜드 하이네켄 프레젠트 스타디움 제공 내가 디제잉할 때 가장 중요하게 생각하는 건 관객과의 교감입니다 내가 전달하는 에너지에 그들이 반응하는 걸 느끼고 싶습니다 이디엠 EDM 일렉트로닉 댄스 뮤직 페스티벌 하이네켄 프레젠트 스타디움 을 위해 8일 한국 잠실 올림픽주경기장을 찾은 오스트레일리아 출신 디제이 앨리슨 원더랜드는 공연이 시작되자마자 디제이 테이블 위로 올라갔다 그는 차분히 디제잉에만 집중하기보단 마이크를 잡거나 열정적으로 춤을 추며 한 시간 내내 관객들과 신나게 놀았다 예쁘게 손질한 금발머리가 공연 뒤엔 산발이 됐을 정도로 격정적이었다 무대에 오르기 전 만났을 때 앨리슨 원더랜드는 디제잉에서 가장 중요한 요소로 관객과의 교감 을 꼽았다 지난 8일 서울 잠실올림픽주경기장에서 열린 하이네켄 프레젠트 스타디움 무대 전 만난 앨리슨 원더랜드 하이네켄 프레젠트 스타디움 제공 원더랜드는 최근 가장 떠오르는 디제이 중 한 명이다 2013년 데뷔한 뒤 2015년 발표한 싱글 런 은 언더그라운드 음악임에도 오스트레일리아 싱글 차트 6위에 올랐고 세계 최대의 디제이 매거진 등에서 주목했다 지난해엔 세계 최대 이디엠 페스티벌인 미국의 이디시 EDC 라스베이거스 유엠에프 UMF 마이애미 중요 라인업으로 서며 철저히 남성 중심인 디제이 신에서 우먼 파워를 대표하는 인물이 되었다 이디시 라스베이거스 무대의 경험에 대해 물었다 당시에 여성을 대표한다는 생각에 상당한 부담을 느꼈습니다 여성이 남성과 동등하다 고 말로 하는 것보다는 실력으로 증명하고 싶었습니다 그날의 세트에 상당한 공을 들였습니다 여성이 남성보다 잘할 수도 있다는 걸 사람들이 기억하길 바랐습니다 그의 음악은 일렉트로닉 음악 중에서도 강력한 저음역을 중심에 놓는 베이스 계열에서 두각을 나타내고 있다 베이스 뮤직 중에서도 트랩 장르를 대표한다 주최 쪽도 앨리슨의 무대 직전 트랩의 여왕 이란 자막을 띄워 그녀를 소개했다 베이스 뮤직의 매력이 무엇이냐는 질문에 앨리슨은 가슴이 울리게 하는 저음 이라고 설명했다 스크릴렉스 포터 로빈슨 디제이 스네이크 등 실력있는 아티스트들이 정말 많습니다 조만간 대중적으로 더 성장할 거라고 생각합니다 독특하게 앨리슨은 디제잉을 하기 전 첼리스트였다 저음역 에 매력을 느끼는 것과 관련이 있을지 모르겠다 디제잉과 첼로 사이엔 아주 큰 공통점이 있습니다 바로 음악이란 거죠 음악적 훈련을 받은 사람이라면 선곡의 흐름을 마치 여행을 떠나듯 만들 수도 있습니다 화성을 맞춰 선곡할 수도 있고요 지금 오스트레일리아는 플룸 등 대형 일렉트로닉 뮤지션을 다수 배출하며 댄스음악 신흥강국으로 부상하고 있다 그 비결을 묻자 단순하면서 명확한 대답이 돌아왔다 아티스트끼리 서로 지지해주는 분위기가 있었습니다 경쟁이 아니고 지지요 오스트레일리아의 젊은층도 좋아해줬고 이에 고무되어 자신감도 얻었죠 일단 이런 과정을 한번 겪자 저절로 성장하기 시작했습니다 그녀는 지금 새 앨범을 만들고 있다 세계적인 뮤지션 로드 위켄드와 작업한 작곡가들과 협업하고 있다 제목은 어웨이크 Awake 깨우다 바쁜 스케줄로 쉴 틈이 없는 그녀는 앨범의 제목이 현재 자신과 반대라며 장난스럽게 자는 시늉을 해 보였다 무거운 비트도 있지만 멜로디의 비중이 늘어날 겁니다 내 모든 걸 담았습니다 좋아하실 수도 싫어하실 수도 있지만 개인적으로는 자랑스러운 앨범입니다 지난 8일 서울 잠실올림픽주경기장에서 열린 하이네켄 프레젠트 스타디움 에서 열정적인 디제잉을 선보이고 있는 앨리슨 원더랜드 하이네켄 프레젠트 스타디움 제공 이대화 음악평론가 지은이 한겨레 절친이 되어 주세요 신문구독 페이스북 카카오톡 한겨레신문 무단전재 및 재배포 금지,한겨레,생활/문화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=028&aid=0002371405
2017-07-11,[새책]'하청사회'·'망할 때 깨닫는 것들' 外 ,서울 뉴시스 신효령 기자 하청사회 근로복지공단에 재직 중인 양정호씨가 쓴 책이다 갑은 어떻게 갑이 되고 을은 어떻게 을이 되는지에 대한 답을 제공한다 우리나라 중소기업의 실태를 표현하는 용어로 99 88 이란 말이 있다 한국 전체 사업체 수의 99 9 가 중소기업이며 전체 근로자의 88 가량이 중소기업 종사자라는 뜻이다 하지만 중소기업들은 그 압도적 비중에도 불구하고 국내 총생산의 절반 수준을 차지할 뿐이다 반면 겨우 0 1 에 해당하는 대기업 혹은 재벌이 국내 총생산액의 절반 이상을 장악하고 있다 저자는 극단적인 양극화를 조금이라도 완화하고 개선하기 위해서는 개인으로 쪼개어져 균열된 일터에 홀로 남은 을들이 동시대를 함께 살아가는 또 다른 을들 을 발견하고 손잡지 않으면 안 된다고 강조한다 180쪽 생각비행 1만4000원 대한민국 부동산 7가지 질문 증권사 직원 국회의원 비서관 청와대 출입기자 등으로 일했던 하승주씨가 쓴 책이다 저자는 부동산 시장이야말로 정부정책의 가장 강력한 영향을 받는 시장이며 정치와 떼려야 뗄 수 없는 시장이라고 말한다 지난 10여 년간의 폭락론을 비판하며 대한민국 부동산 시장에 예리한 질문들을 던진다 그리고 한국 주택시장의 가격이 어떻게 움직이는지 어떤 요인들이 가장 큰 영향을 주는지를 살펴보고 앞으로 주택시장의 변화가 어떻게 시작될 것인지를 점검했다 256쪽 스마트북스 1만4800원 망할 때 깨닫는 것들 하루 3000개의 사업체가 창업을 할 때 2000개가 폐업한다 사업 3년 안에 70 10년 안에 80 는 문을 닫는다는 통계도 있다 다시 회사를 창업해 재기의 길을 걷고 있는 저자 유주현씨는 자신의 실패 경험과 다른 창업자들의 사례를 통해 이렇게 하면 망하는 길로 간다 고 경고했다 누구처럼 성공하겠다고 말하는 이들 돈을 벌어야 할 현장도 눈으로 확인하지 않고 모니터 앞에 앉아서 사업을 기획하는 사람은 성공하기 어렵다는 것이다 그 외에도 투자받은 것을 돈 번 것으로 착각하고 투자 유치에만 매달리는 창업자 우물쭈물하며 빠른 결정을 내리지 못해 사태를 점점 악화시키는 경우 등이 등장한다 끝날 때까지 끝난 게 아니다 란 야구 격언처럼 사업은 고객의 최종 선택 혹은 계약서 도장을 찍고 통장에 돈 입금될 때까지 끝난 게 아니다 아무리 내가 잘해 줬다 생각하고 저 사람이 내게 이럴 수 있나 하며 억울하고 화나도 소용없다 232쪽 유아이북스 1만3500원 내 운명을 바꿀 2억짜리 공모전 전략 공모전은 사연이나 글짓기에서부터 UCC영상 광고 디자인 영상 아이디어 마케팅 창업 대외활동 슬로건 등 총 11가지가 대표 분야다 이동조씨가 실전 전략을 정리해 놓은 공모전 관련 실용서다 저자는 특강 때마다 학생들에게 이런 이야기를 한다 탈락했다고 너무 좌절할 필요는 없다 결과는 심사기준의 배점 참석한 심사위원들의 성향과 가치판단 등에 따라 얼마든지 달라질 수 있다 해리포터를 쓴 조앤롤링도 여러 출판사로부터 출간을 거절당했다고 하지 않는가 그러니 창조과정의 패턴을 적용해 포기하지 말고 계속 도전하라 열심히 도전해 매일 1 수상확률을 높여가면 된다 272쪽 새빛 1만5000원 닌하오 공자 짜이찌엔 논어 논어 와 공자에서 출발하는 동아시아 고전을 자기만의 시선으로 읽어낼 수 있는 방향을 제시하는 책이다 저자 문성환씨는 그동안 괄호 쳐진 상태로 애써 무시되었던 사실들 공자의 신체 조건 및 출생 배경 과 애초에 기록을 의식하지 않았기에 더욱 생생했던 스승 공자와 제자 사이의 대화의 맥락 그리고 약간의 상상력을 가미해 나만의 논어 읽기 n 1개의 논어 독법을 창안할 것을 제안한다 저자는 누가 누구와 나누는 대화이고 어떤 상황에서 이루어진 대화인지를 아는 것 이것이야말로 논어 읽기의 출발점이 되어야 한다 며 고전 古典 을 알 듯 모를 듯한 멋진 경구 아포리즘 들의 모음이나 시대에 뒤떨어진 옛날 책쯤으로 만들어 버리지 않기 위한 방법이기도 하다 논어 는 저기 어딘가에서 진리를 감싸안고 고고히 서 있는 화석이 아니다 그것은 반드시 지금 이곳에서 살아가는 내 삶의 현장과 내 삶의 언어와 격렬하게 부딪치지 않으면 안된다 고 강조했다 352쪽 북드라망 1만6000원 snow newsis com뉴시스 뉴스 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS 페이스북 트위터,뉴시스,생활/문화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=003&aid=0008058035
2017-07-11,[이주의 신간] 『논마마로 살아가기』 외,논마마로 살아가기정신과 의사이자 논마마 인 저자가 또 다른 논마마들이 사회의 편견에 맞서 살아갈 수 있도록 조언한 관계 심리학서 비혼 증가 일 출산의 갈림길 불임 섹스리스 등을 통해 아이 낳을 생각이 없는 여성들의 현실을 들여다본다 가야마 리카 안혜은 옮김 을유문화사 1만3000원낯섦평범한 직장인인 저자가 낯선 유럽 땅을 10년 넘게 유랑하며 쓴 글을 모아 엮었다 여행하며 마주친 이들 낯선 풍경 짧은 생각 등을 담았다 여행의 설렘으로 둔해진 감각을 일깨우고 나조차 몰랐던 새로운 나 와 마주한다 이현숙 팬덤북스 1만3800원변호사들일제 강점기 유신 시대 군사 독재 시대를 거치며 한국 민주주의 역사를 써 내려간 변호사들의 이야기를 담았다 법 정신 사회적 정의와 직업적 헌신 민주주의와 인권 가치 등에 대해 물음을 던진다 장준환 한스컨텐츠 1만5000원인생의 일요일들라디오 프로듀서이자 에세이스트인 저자가 그리스 여행에 대한 기억과 일상을 성찰하며 쓴 39통의 편지를 책으로 엮었다 따사로운 인생의 일요일을 찾아 기운을 회복할 시간을 제공한다 정혜윤 로고폴리스 1만3800원피터 래빗의 정원동화작가이자 일러스트레이터인 베아트릭스 포터의 작품집 알려진 그림은 물론 대중에 공개되지 않은 그림들까지 담았다 포터가 세심한 관찰력으로 담아낸 영국 전원을 꼬마 토끼와 함께 동화 속 세상에서 거닐어보자 베아트릭스 포터 원작 에밀리 잭 외 3명 김현수 옮김 생각정거장 2만원신나영 인턴기자,여성신문,생활/문화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=310&aid=0000060472
2017-07-11,‘청담동의 역사’에서 즐기는 고소한 고기맛,볼트82 주소 서울 강남구 압구정로72길 22 전화번호 02 544 9235 영업시간 매일 12시 오후 11시 브레이크타임 15시 18시 주차 발렛파킹 서너명이 타면 꽉 차는 엘리베이터는 마치 영화 미드나잇 인 파리 의 푸조 자동차처럼 시공간을 점프한다 문이 열리자 조도가 낮은 펜던트 조명 아래 쨍그랑 와인잔 부딪는 소리가 울린다 구두 소리를 빨아들이는 카펫을 밟고 식탁에 앉자 와이셔츠처럼 단정하게 개어진 하얀 냅킨이 맞아준다 우디 앨런의 영화와 차이가 있다면 도착한 곳이 파리의 사교 클럽이 아니라 뉴욕의 전통 스테이크하우스에 가깝다는 점이다 프라다 루이 비통 구찌 등 해외 럭셔리 브랜드의 플래그십 스토어가 즐비한 청담동 명품거리 골목 안쪽에 위치한 스테이크하우스 볼트82 는 위스키 바 bar 로 이름을 먼저 알렸다 한남동에서 스피키지 바 Speakeasy Bar 금주령 시대에 간판 없이 몰래 영업하던 술집 콘셉트로 트렌드 세터들을 끌어모은 뒤 2014년 옮기면서 3개 층에 걸친 삼색 三色 업장으로 탈바꿈했다 1층 라운지에서 아페리티프 Aperitif 식욕 증진 주류 를 마시다가 2층 스테이크하우스에서 칼질 을 하고 마지막으로 지하 바에서 위스키로 마무리하는 식이다 남성의 콘텐트로 통째 채웠다 는 이수영 35 공동대표의 말을 뒷받침하듯 3개 매장 27명의 직원 가운데 여성은 바텐더 1명뿐이다 스타일을 아는 남자들을 위한 공간을 원했어요 제대로 차려입고 음악과 분위기와 맛을 즐길 줄 아는 한남동 시절부터 구상했던 건데 마침 청담동의 이 자리가 나서 제대로 실현했죠 이 자리란 지난 세기말 청담동 카페문화를 이끌었던 하루에 를 일컫는다 1996년 문을 연 카페 하루에는 유럽풍의 고급 인테리어와 당시엔 생소했던 와플 등 브런치 메뉴로 해외 유학파와 패션 피플을 끌어모은 핫플레이스였다 10대 시절 압구정로데오 거리를 쏘다니던 이 대표의 눈에 언덕 위 청담동엔 더 부유하고 더 세련된 무언가 가 있었다 중학교 동창 마서우 35 스위스 유학 시절 만난 친구 장 페리에 31 과 함께 볼트82를 열면서 그가 계획한 것도 한때의 맛집이 아니라 한 시대의 문화적 아이콘이 될 공간이었다 상호명에 국가번호 82를 넣은 것도 그런 각오에서다 주문하신 포터하우스입니다 생전에 육중한 소의 허리를 지탱했을 T자형 뼈와 붉은 살덩이가 눈앞에 놓였다 등심 short loin 과 안심 tenderloin 을 동시에 맛볼 수 있단 점에서 티본 스테이크와 같지만 포터하우스의 경우 안심이 좀 더 크다 메뉴판에 적힌 것은 100g당 가격으로 최소 800g 단위로 주문할 수 있다 서버가 생육의 두툼한 두께 약 3㎝ 를 확인시킨 뒤 주방으로 되가져가 구워서 내온다 검은색에 가까운 갈색 표면에선 여전히 열기가 뿜어져 나왔다 드라이에이징한 미 농무부 USDA 인증 프라임육을 섭씨 300도로 데운 두께 5㎝ 주물팬에서 겉부터 바싹 익힌 뒤 시어링 오븐에서 마무리한다 숙성 과정에서 습기가 날아가면서 조밀해진 고기는 익히는 과정에서 비로소 생전의 연한 속살을 회복한다 자 이제 칼질이다 짐승의 복부를 가르듯 나이프를 찔러 서걱서걱 썬다 뜨거운 접시 위의 두터운 고기는 식사 과정에서도 서서히 익어가기 때문에 평소 미디움을 즐긴다면 미디움 레어로 주문하는 편이 좋다 레스토랑 홀 한쪽엔 숙성 중인 고기가 사냥꾼의 전리품처럼 진열돼 있다 미국의 미쉐린 미슐랭 스타 레스토랑인 피터 루거와 울프강스테이크하우스 등에 납품하는 마스터 퍼베이어스에서 직송받는다 매주 500 700kg씩 들여오지만 셀러에서 드라이에이징을 거치면 실제 판매할 수 있는 고기 양은 절반으로 줄어든다 적정 온도 0 9도 와 습도 60 에서 4주간 제대로 숙성한 고기에선 꼬릿하면서 고소한 말 그대로 고기 맛 이 나죠 특히 뼈에 붙은 살을 발라먹으면 제 맛을 느낄 수 있습니다 고기를 썰다 뼈가 드러날 즈음 서버에게 부탁하면 살을 발라내준다 원시의 인류가 생명을 걸고 득했을 짐승의 살맛을 가장 우아하고 가장 편안하게 혀로 만끽한다 하루가 다르게 트렌드가 변하는 청담동에서 세기를 바꿔가며 버텼던 하루에는 2012년쯤 폐업했다 건물을 리모델링하면서도 볼트82는 최대한 하루에의 흔적을 남기길 원했다 아르데코 풍의 난간 장식과 목재 바닥 등이 그 시절을 기억하는 이들에겐 추억으로 모르는 이들에겐 빈티지로 다가온다 남성미 물씬한 공간이라지만 드나드는 손님은 남녀 비중이 비슷하다 이 대표의 계획처럼 남자들이 멋져보이는 공간에 그런 남자들과 어울리는 여자들이 모이기 때문인 걸까 1층 테라스 좌석에서 수트 차림 남자와 멜빵바지를 입은 남자가 느긋이 시가를 피우고 있었다 더 이상 그들은 사냥을 위해 뜀박질을 할 필요가 없다 글 사진 강혜란 기자 theother joongang co kr 사진 볼트82 중앙SUNDAY 페이스북 구독신청 PDF열람 중앙SUNDAY http sunday joins com and JTBC Content Hub Co Ltd 무단 전재 및 재배포 금지,중앙SUNDAY,생활/문화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=353&aid=0000027453
